Galaxy Number,Name,RA H, RA M, RA S,Dec,Arcmin, Arcsec, LambdaH,LambdaK
193,1527 3039,15,27,37.9,30,39,23,4107.159535,4070.437464
194,1528 2716,15,28,12,27,16,0,4098.868753,4062.288709
195,NGC 5958,15,32,42,28,50,0,3996.252458,3960.498109
196,1533 2730,15,33,6,27,30,0,4096.932601,4060.897762
197,NGC 5961,15,33,12,31,1,0,3992.369789,3957.008715
198,1533 3058,15,33,15.4,30,58,0,4071.548193,4035.190814
199,1534 3050,15,34,17.7,30,50,47,3990.843499,3955.754323
200,NGC 5974,15,37,0,31,55,0,3996.431384,3960.699313
201,IC 4568,15,38,0,28,19,0,4093.361689,4057.521727
202,1538 +2831A,15,38,24,28,31,0,4098.523273,4062.333383
203,IC 4569,15,38,42,28,28,0,4098.642884,4061.953039
204,1539 2809,15,39,18,28,9,0,4097.632529,4061.39995
205,IC 4570,15,39,18.1,28,23,20,4096.233206,4060.079464
206,IC 4572,15,39,48,28,18,0,4100.291443,4064.02829
207,IC 4580,15,41,6,28,31,0,4095.604543,4059.371429
208,1541 2835,15,41,42,28,35,0,4102.328097,4065.494646
209,IC 4581,15,41,54,28,26,0,4096.769973,4060.346912
210,IC 4582,15,43,36,28,15,0,3997.074147,3961.388136
211,1544 3025,15,44,18,30,25,0,4090.040273,4054.009045
212,1544 3110,15,44,44.6,31,9,53,4088.73796,4052.297203
213,NGC 6001,15,45,42,28,48,0,4095.755794,4059.985782
214,1546 2746,15,46,54,27,46,0,3997.537291,3962.06383
215,1548 2847,15,48,30,28,47,0,4091.756795,4055.342439
216,1552 3018,15,52,6,30,18,0,4047.154907,4011.600518
217,NGC 6016,15,53,54,27,7,0,4052.451553,4016.067225
218,1555 3011,15,55,27.3,30,11,57,4094.779998,4058.483557
